program,sex,decision
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
F,Female,Denied
